Country,Year,Happiness Score
Australia,2015,7.284
Australia,2016,7.313
Australia,2017,7.28399992
Australia,2018,7.272
Australia,2019,7.228
Australia,2020,7.222799778
Vietnam,2015,5.36
Vietnam,2016,5.061
Vietnam,2017,5.073999882
Vietnam,2018,5.103
Vietnam,2019,5.175
Vietnam,2020,5.353499889
Switzerland,2015,7.587
Switzerland,2016,7.509
Switzerland,2017,7.493999958
Switzerland,2018,7.487
Switzerland,2019,7.48
Switzerland,2020,7.559899807
United Kingdom,2015,6.867
United Kingdom,2016,6.725
United Kingdom,2017,6.714000225
United Kingdom,2018,7.19
United Kingdom,2019,7.054
United Kingdom,2020,7.164500237
Japan,2015,5.987
Japan,2016,5.921
Japan,2017,5.920000076
Japan,2018,5.915
Japan,2019,5.886
Japan,2020,5.870800018
Syria,2015,3.006
Syria,2016,3.069
Syria,2017,3.461999893
Syria,2018,3.462
Syria,2019,3.462
Syria,2020,3.514
Sri Lanka,2015,4.271
Sri Lanka,2016,4.415
Sri Lanka,2017,4.440000057
Sri Lanka,2018,4.471
Sri Lanka,2019,4.366
Sri Lanka,2020,4.327000141
India,2015,4.565
India,2016,4.404
India,2017,4.315000057
India,2018,4.19
India,2019,4.015
India,2020,3.573299885
Russia,2015,5.716
Russia,2016,5.856
Russia,2017,5.962999821
Russia,2018,5.81
Russia,2019,5.648
Russia,2020,5.546000004
